Cell_ID,Cell_Type,Batch,Condition,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20
Cell_0,NK,Batch2,Disease,60.12347333609323,51.30607571776618,52.36295575186261,32.95969968281773,36.725900928081764,,62.59747341471815,39.77981219441834,59.16824460003117,40.304221374665765,50.59448122987565,50.97150881061296,31.84449394231237,43.61612877676836,43.77001002285982,49.94588392714917,error,43.13235244483076,46.4281248120547,64.95923930169128
Cell_1,B-cell,Batch2,Healthy,33.24248569430128,49.191015520162225,52.87628367321822,44.222762560815035,,77.48403596623106,67.0313681117203,71.71013668161763,46.287912424603455,47.95550729264463,29.142904120217135,46.58052299043945,47.00177704725989,62.95323294931673,43.85146848585202,49.119980901427134,47.22890743450123,33.906072010977795,48.873252863372116,54.443766829213736
Cell_2,NK,Batch3,Healthy,44.225950262205956,49.293254757233896,52.015176586449535,41.66132521126649,46.76748462999171,62.24916644284764,52.44358476162947,53.919362631890074,65.98424856051832,39.81131478556692,39.7371658741971,45.315201722062845,45.356822343544145,,,47.75214213586435,37.46880253478905,67.18057062574701,44.735079394318916,29.87244040830244
Cell_3,Monocyte,Batch2,Disease,58.5305816779828,43.233952899357334,61.24583823772247,25.285562351241722,50.152739451151426,44.94232593458709,46.02650817791521,68.7843085976826,59.96950597355876,57.92904168195327,error,59.260499219744936,57.37579408990496,42.011005341278114,51.36351256058723,38.49377661967729,29.718666774433796,48.53252708466343,49.93741992098721,error
Cell_4,NK,Batch2,Healthy,,49.63549979765678,63.625883628656396,41.273153285871516,error,49.02777887314226,46.45691795157852,33.392504164606855,60.73647694125819,50.681597131482405,66.80028101854982,,58.50186282703699,41.792759888700544,47.599125303960136,58.90952441186454,50.374825456006846,error,41.50065700723371,44.344489976378355
Cell_5,Unknown,Batch3,Healthy,65.46813619811013,37.97824120356659,40.76186450185226,55.728451986621614,37.22309674988088,36.02799454541769,61.59697642015517,,58.63216292691756,34.475605778580274,53.165615996130526,63.49492010180971,25.94042748073502,56.31404205627141,64.47506324258727,31.051064016933935,61.1061400808494,56.66459334188066,63.41475137330002,48.20961722988265
Cell_6,NK,Batch1,Disease,58.134052309109094,53.626092969898146,49.86719348050553,,56.817200527599404,57.04448011806133,38.56122496600944,46.22889237443208,61.389880074425065,,54.559094214268136,50.36774428242189,37.41502817666685,65.38473647306395,55.750739248558645,45.13120540519853,47.77111539820782,34.511477661593545,57.00063351234912,63.23027295126492
Cell_7,T-cell,Batch1,Healthy,66.84966629902115,39.002368242670805,57.19695637916898,35.89278734401579,59.084788707562694,52.20162455443954,,42.83162147639534,,,,,63.827960123119425,45.582552814686174,51.445177826584114,49.828433090621054,47.114117433672064,53.78987590770389,55.65595478658022,50.701506647325495
Cell_8,Monocyte,Batch2,Disease,error,53.628930765006615,46.880198168211514,,65.01932263617255,50.7514975222083,,55.10619803829283,error,57.14277026913439,45.72345083283381,57.05731705067338,35.8144297622561,67.2909377199897,42.58216504338566,26.97804860238451,46.452960154714674,32.7208900675353,59.46831920714239,39.240107431068445
Cell_9,B-cell,Batch3,Healthy,63.57308527369928,53.602484893447276,25.472520482917442,53.8882100033199,43.157420649791185,50.71684087771011,56.50190609028418,75.49393880616907,54.05970123162295,72.45774957110768,26.586819663239307,60.55286209393085,33.64309732081142,52.02777578310382,50.746805962087734,40.91138829947835,48.23877319253715,74.07018289468596,66.63621296588101,68.93375125535499
